Ticker,Mean_Return,Volatility,Sharpe,Corr_Tech,Corr_Energy,Corr_Financial,Corr_Healthcare,Corr_Consumer,Corr_Industrial,Corr_Crypto,Corr_Bonds,Corr_Market,Vol_Mean,Vol_Std,Vol_Range,Crisis_Mean,Crisis_Vol,Normal_Mean,Max_Drawdown,Avg_Drawdown,Drawdown_Duration,Skewness,Kurtosis,Downside_Vol,Win_Rate,Momentum_6M,Momentum_12M,Cluster
AAPL,0.16205169454017238,0.2730676791212326,0.5934488294684888,0.7777289958842225,0.21292764621677,0.5067547783308536,0.47539847510344385,0.42464592520510963,0.5410904458908148,0.29966155855241794,0.1785359498417221,0.7556852856944953,0.2601629805289301,0.08285240168110068,0.29772128781110374,0.000524693154331632,0.03083289714501197,0.0006825810860912937,-0.3091281598645597,-0.1006405363583977,547,0.13609086285127894,2.1547224201606068,0.18301215683105576,0.5290628706998813,-0.03060559779686134,0.29411355873182154,1
MSFT,0.09762217914143606,0.27304722536205706,0.35752855211031837,0.8329197856649884,0.15722741106716498,0.49800530079808464,0.470241647246969,0.35710041187402025,0.5335350184259926,0.34409257806026955,0.15237627195015704,0.7828461117152498,0.2653395233422188,0.07661258598922038,0.24731674660945727,-0.00023944406407179882,0.030695413435187394,0.0005966647628532267,-0.37148485877777354,-0.12849023295846737,591,-0.016602221103376277,1.9704016874516745,0.18593660773907938,0.5160142348754448,-0.09330635236623153,-0.07752980840462331,1
GOOGL,0.095063606779693,0.322573386273493,0.29470381260496664,0.7626537143241789,0.17017892898941106,0.4609119375480079,0.3956865552420751,0.2782464610551001,0.4832383278773152,0.3077506307095236,0.14520649580222572,0.7102425067815806,0.31639801463421025,0.0801939640845763,0.27543929376767007,0.00012484410871232542,0.03644047134563291,0.00046150046191750413,-0.4432004508358852,-0.16621896517240956,670,-0.03841710002884004,2.74340221469314,0.22150426102283133,0.5207591933570581,0.027358070039972038,0.14147448447233923,1
AMZN,0.11555411717786745,0.37238223475577376,0.310310499247241,0.7836813631653695,0.18365654151100294,0.4948145351097228,0.387977281144257,0.2875817936484867,0.5199797248955104,0.3509694775007124,0.18231996244124557,0.7304182626890136,0.3558247534223722,0.12013355930476725,0.39358255922803215,0.0010877102370762833,0.04217988659975975,0.0002484955297815083,-0.557258256353243,-0.23061583516434525,692,0.08249372398156765,4.4432798117780745,0.2533366429929879,0.505338078291815,0.06085588743155279,0.14094864704257004,1
NVDA,0.581699080095311,0.5641214161931795,1.0311593628562263,0.7985241886945009,0.16862081014252872,0.419151134017336,0.29664575680035205,0.1523722442191143,0.5014283944361284,0.3357138999857847,0.10801892906516049,0.71173195000742,0.5429105928264566,0.14700942437977843,0.47243668669138195,0.007883680445819077,0.06264312365431068,0.0004469388427720985,-0.6633509394375956,-0.2242796024013985,621,0.455512838009155,3.785054959323682,0.3417327901885277,0.531435349940688,0.04680633426565817,0.3282650157277789,1
META,0.30484124030111676,0.47227061548362786,0.6454800072389527,0.685572686536161,0.10845753465134009,0.3999042611106621,0.3378590658564373,0.22710811947496395,0.4258557928251,0.2453360955093034,0.11083452762449524,0.6160679145023654,0.43277463976495123,0.196744653468626,0.6319941062510693,0.0022446159285429475,0.05546866987078577,0.0008641654574879189,-0.744188037389649,-0.25299932669612724,590,-0.3427669393600447,20.935777388145546,0.371740593686311,0.5207591933570581,0.10430241930646034,0.22323063276267985,1
TSLA,0.11982576549135582,0.6231453927214697,0.19229182609862433,0.6252966328507675,0.1450028226306835,0.40340809892817525,0.24299210262393398,0.16888936925134562,0.4031814228984839,0.3557417448403367,0.09577719831043019,0.5632166792199432,0.5986077124873633,0.13893985241677337,0.44691978521482284,0.003744653783387713,0.06997350076490029,-0.0006159434063007235,-0.7297004486219802,-0.39404806733436126,819,0.23357184321931865,2.0986617391538327,0.3985248264708294,0.5041518386714117,0.16847855046563476,0.6108668143160316,3
BRK-B,0.19800174838316972,0.17445567198068562,1.134968821220619,0.509710857378553,0.4580368387053798,0.8319991386748846,0.6018399608703832,0.5659602225183215,0.7107354229852934,0.24248074005237144,0.10903219173960588,0.6709449011271843,0.1668814075217334,0.04946794601098889,0.160668371872477,0.0018102935686795168,0.01954830109487957,0.0004436567225059324,-0.26578970820011555,-0.07986104106680729,383,0.2217731354480572,1.963091804144097,0.11044622319653008,0.5338078291814946,0.1549273646649192,0.2708443548196171,1
V,0.17180652057982873,0.22311441760831985,0.7700377340985521,0.5912479001706296,0.2969327068972584,0.6738224367774984,0.5341676283001239,0.47242632328687917,0.6081590978644591,0.27986979327147615,0.13551366657811112,0.6738048477274868,0.20590744433639865,0.0825791300072972,0.26844419883062576,0.0009987851322967951,0.02568703368982855,0.0005759336309166564,-0.2413786367857827,-0.06284927959466606,385,0.4463768010513313,5.537363483072761,0.1517982702014749,0.5468564650059312,0.21186758122389926,0.19308292897179968,1
JNJ,0.042172933820410395,0.16537271416565502,0.2550174860053725,0.08633608038210763,0.12026116032023987,0.3153844942039885,0.5925721183384564,0.5097925221986652,0.2537462366061521,0.032904342955340386,0.16378389972433333,0.2276932808362079,0.16202596148282686,0.03588346909312333,0.1122944200354154,-0.00025174874816763417,0.018610474668711966,0.0003072745105496247,-0.1841166303347953,-0.08760753812089447,600,0.4286102949841652,3.0826422643453992,0.10451693388884203,0.5077105575326216,0.01070756746528434,0.08204491765111,4
