Ticker,Asset_Class,Category,Mean_Return,Volatility,Sharpe_Ratio,Skewness,Kurtosis,Downside_Volatility,Max_Drawdown,Percentile_5,Percentile_95,Rolling_Volatility,Win_Rate,Gain_Loss_Ratio,Correlation_SPY,Beta_SPY
AAPL,Stock,Tech,0.1620516695315144,0.2730677040202348,0.5934486837722346,0.13584947601737,2.1348645539913766,0.1830121967294032,-0.3091279989553956,-0.0283788662177384,0.0266693098918664,0.2601630101157337,0.5290628706998813,0.9776404594386848,0.7556852162821016,1.1887181858559883
MSFT,Stock,Tech,0.0976222412364981,0.2730473462470377,0.357528621238366,-0.0165741148460682,1.9516191732947847,0.1859367052078173,-0.3714847552340223,-0.0271157070190485,0.0270267513440348,0.2653396545643842,0.5160142348754448,0.996642062260462,0.7828460438260175,1.2313512716972133
GOOGL,Stock,Tech,0.0950635643699727,0.3225732554288074,0.2947038006718863,-0.0383484297362701,2.7200528973483564,0.221504180333712,-0.4432005021045228,-0.0312764230282472,0.0303934921319233,0.3163978922022998,0.5207591933570581,0.9631091757997432,0.7102422301797285,1.319782880508558
AMZN,Stock,Tech,0.1155541171778674,0.3723822347557737,0.310310499247241,0.0823468653841368,4.409860564206898,0.2533366429929879,-0.557258256353243,-0.0356149838951718,0.0359129813009823,0.3558247534223722,0.505338078291815,1.0257035950071556,0.730418707333113,1.5668538307684534
NVDA,Stock,Tech,0.5816990503946161,0.5641213610672114,1.0311594109716942,0.4547015103774471,3.7555263362695888,0.3417327071409667,-0.6633509008833074,-0.0554136969793481,0.0555120848026642,0.5429105467852159,0.531435349940688,1.043478088471791,0.7117324025455516,2.31290036822302
META,Stock,Tech,0.3048412734123685,0.4722707381079475,0.6454799097518731,-0.3421575393057178,20.80469369877106,0.3717407200334589,-0.7441880599897378,-0.041106597444338,0.0392514437013526,0.4327747543631087,0.5207591933570581,1.0394648073893606,0.6160676702635431,1.6760504936496745
TSLA,Stock,Auto,0.1198257654913558,0.6231453927214697,0.1922918260986243,0.2331560293653801,2.07912581053888,0.3985248264708294,-0.7297004486219802,-0.0631353475253553,0.0624707503250973,0.5986077124873634,0.5041518386714117,1.0137490156815117,0.563216830561012,2.021774221432222
BRK-B,Stock,Financial,0.1980017483831697,0.1744556719806856,1.134968821220619,0.2213783261213864,1.9443586334156373,0.11044622319653,-0.2657897082001155,-0.0172952673393404,0.0177640066153383,0.1668814075217333,0.5338078291814946,1.0574702724977043,0.6709446840399977,0.6742787179180273
V,Stock,Financial,0.1718064975248173,0.2231144143329496,0.770037642070196,0.445584651076764,5.497479319624318,0.1517983264085206,-0.2413785701195276,-0.0228704417547197,0.0230005942772996,0.2059073857391416,0.5468564650059312,0.9476019862938996,0.6738049016989164,0.8660230213122758
JNJ,Stock,Healthcare,0.0421729412465307,0.1653727609641245,0.2550174587438839,0.427850166956376,3.057283748732612,0.1045168898840851,-0.1841166303347949,-0.0163702203831191,0.0155957213382091,0.162025999697848,0.5077105575326216,1.0080011493259753,0.2276931560709491,0.2169110098233486
WMT,Stock,Retail,0.2078996766522088,0.2120287907134115,0.9805256915944786,-1.0999202134797514,12.092671763082013,0.1770992011116661,-0.2573966606529649,-0.018911239450528,0.0184362151484492,0.1949157376181928,0.5551601423487544,0.9575233654820978,0.3432015711309162,0.4191908031042651
JPM,Stock,Financial,0.174505064857744,0.2480227935378344,0.7035847889969206,0.3167720438300572,5.31535861704756,0.1724796195662604,-0.3792954714666725,-0.0247079010501513,0.0236232340908334,0.2353389172586549,0.5326215895610913,0.9936813614598892,0.6070566869473616,0.8673382197177435
MA,Stock,Financial,0.1586741820384098,0.2367307242397039,0.6702728703594166,0.0859949158527566,3.4803410702684427,0.1686832840844812,-0.2825034618662293,-0.0225400936381123,0.0228870544637758,0.2158893048889097,0.5302491103202847,0.9978087243105332,0.7173534557074791,0.9782626299977586
PG,Stock,Consumer,0.0758544498347336,0.17743027312115,0.4275169535637247,-0.5040199316446091,3.564762177322044,0.1332598594901927,-0.2377242738897809,-0.0174989940859345,0.0159664600793163,0.1713042972495656,0.5373665480427047,0.922532729512879,0.3399376979705244,0.3474519010642085
UNH,Stock,Healthcare,0.0805073669158592,0.2472338807919829,0.3256324200306363,-0.3267931070196621,3.756924173335567,0.1866670849570948,-0.2590320849129563,-0.0235256288224971,0.0236204023066457,0.240314847468181,0.5338078291814946,0.9253194616321594,0.315874592122002,0.4498734073863514
HD,Stock,Retail,0.0530875995631735,0.2488804103623368,0.2133056574677172,-0.2276219338331689,3.085549883107236,0.1742119496704252,-0.3472932713083888,-0.024728515152401,0.0249875016914946,0.2385495074778923,0.5160142348754448,0.972300823371146,0.6376981529032635,0.9142679913611907
DIS,Stock,Media,-0.1174663372967698,0.298021136534165,-0.3941543833529523,-0.3162680098163383,5.906434844874285,0.2176929846569466,-0.5107026091799479,-0.0291124503114809,0.0300963542424348,0.2828561936327619,0.4863582443653618,0.97333520007629,0.5887650252782198,1.0107801677963029
BAC,Stock,Financial,0.0367497811379062,0.2743049034448386,0.1339742041661913,0.3684958308993405,2.1927519933194466,0.1705026030822648,-0.4664292537095493,-0.0275217391922182,0.0289559069994824,0.2658018054439379,0.4804270462633452,1.0965681495249164,0.617337875774493,0.9754929530347136
ADBE,Stock,Tech,-0.0716987735992508,0.3873841244173486,-0.1850844396555757,-0.9687551189120842,8.16744017310318,0.3200404023654128,-0.6002149800846817,-0.0342279303816709,0.0340825584919457,0.3678518328699076,0.4970344009489917,0.9756787935058554,0.6479587736991231,1.4459618528539333
